GEO_ID,NAME,S1701_C03_001E,S1701_C04_001E,Ratio of Population Below Poverty Level to Total Population
6001,"Alameda County, California",10.6,10.56649508,10.39630103
6003,"Alpine County, California",19.8,19.80802792,19.80802792
6005,"Amador County, California",9.7,9.727466995,8.784266039
6007,"Butte County, California",20.1,20.07349584,19.55741495
6009,"Calaveras County, California",11.7,11.71579912,11.58837184
6011,"Colusa County, California",13.8,13.76797969,13.64610511
6013,"Contra Costa County, California",9.1,9.124203524,9.048601055
6015,"Del Norte County, California",22.5,22.53602543,19.90227538
6017,"El Dorado County, California",8.9,8.938339135,8.859376088
6019,"Fresno County, California",24.1,24.12790335,23.7255784
6021,"Glenn County, California",18.8,18.77003789,18.46793562
6023,"Humboldt County, California",20.3,20.34751629,19.85519415
6025,"Imperial County, California",24.2,24.16645644,22.85646114
6027,"Inyo County, California",10.2,10.17834829,9.908764169
6029,"Kern County, California",22,21.98007574,21.20280436
6031,"Kings County, California",20.8,20.82563977,18.71331001
6033,"Lake County, California",21,20.97715736,20.61482821
6035,"Lassen County, California",13.8,13.81535563,9.405162738
6037,"Los Angeles County, California",16,15.98299282,15.74517541
6039,"Madera County, California",20.8,20.84174763,19.70737938
6041,"Marin County, California",7.6,7.611420476,7.43041549
6043,"Mariposa County, California",14,14.04105639,13.88255416
6045,"Mendocino County, California",18.5,18.49129999,18.16133239
6047,"Merced County, California",22.7,22.68682597,22.17225681
6049,"Modoc County, California",16.6,16.57809612,16.05504587
6051,"Mono County, California",10.4,10.35170155,10.25821927
6053,"Monterey County, California",14.1,14.1102687,13.549717
6055,"Napa County, California",8.1,8.142078096,7.947057568
6057,"Nevada County, California",11.4,11.39531087,11.2713438
6059,"Orange County, California",11.5,11.49669397,11.36164102
6061,"Placer County, California",8,8.043514049,7.970227086
6063,"Plumas County, California",11.7,11.67255915,11.47654955
6065,"Riverside County, California",14.7,14.72790414,14.50619019
6067,"Sacramento County, California",15.8,15.84225815,15.62770898
6069,"San Benito County, California",9.2,9.237668161,9.187760872
6071,"San Bernardino County, California",17.3,17.30152489,16.81548253
6073,"San Diego County, California",12.5,12.51560998,12.20739892
6075,"San Francisco County, California",10.9,10.85662976,10.6867009
6077,"San Joaquin County, California",15.9,15.91927127,15.60941367
6079,"San Luis Obispo County, California",13.3,13.30466604,12.5430353
6081,"San Mateo County, California",7,7.026583801,6.970173709
6083,"Santa Barbara County, California",14.8,14.84299545,14.19982061
6085,"Santa Clara County, California",7.9,7.920290744,7.795754864
6087,"Santa Cruz County, California",14.3,14.26888591,13.67194492
6089,"Shasta County, California",17.1,17.13186302,16.85568306
6091,"Sierra County, California",8.3,8.301756803,8.225255973
6093,"Siskiyou County, California",19.4,19.39952741,19.2328893
6095,"Solano County, California",10.4,10.37875797,10.13089184
6097,"Sonoma County, California",10.3,10.25575691,10.11615405
6099,"Stanislaus County, California",16.1,16.11016895,15.95880594
6101,"Sutter County, California",16,16.02300913,15.83465454
6103,"Tehama County, California",21.5,21.53068731,21.24564089
6105,"Trinity County, California",19.7,19.7260057,19.36712797
6107,"Tulare County, California",25.5,25.45620037,25.14479551
6109,"Tuolumne County, California",13.3,13.28230081,12.45086405
6111,"Ventura County, California",9.6,9.570717607,9.439555153
6113,"Yolo County, California",19.6,19.60285182,18.87783344
6115,"Yuba County, California",18,17.95959159,17.6148782